sex_fam;individuals;voc_type;n
Unfam_MF;1585M-1667F;complex;0
Unfam_MF;1585M-1667F;Down;1
Unfam_MF;1585M-1667F;flat;437
Unfam_MF;1585M-1667F;longdown;15
Unfam_MF;1585M-1667F;longdown_trill;0
Unfam_MF;1585M-1667F;trill;0
Unfam_MF;1585M-1667F;up;0
Unfam_MF;1622M-1684F;complex;551
Unfam_MF;1622M-1684F;Down;204
Unfam_MF;1622M-1684F;flat;1225
Unfam_MF;1622M-1684F;longdown;74
Unfam_MF;1622M-1684F;longdown_trill;8
Unfam_MF;1622M-1684F;trill;96
Unfam_MF;1622M-1684F;up;683
Unfam_MF;1635M-1657F;complex;358
Unfam_MF;1635M-1657F;Down;257
Unfam_MF;1635M-1657F;flat;589
Unfam_MF;1635M-1657F;longdown;336
Unfam_MF;1635M-1657F;longdown_trill;149
Unfam_MF;1635M-1657F;trill;470
Unfam_MF;1635M-1657F;up;27
Unfam_MF;1637M-1661F;complex;435
Unfam_MF;1637M-1661F;Down;278
Unfam_MF;1637M-1661F;flat;611
Unfam_MF;1637M-1661F;longdown;254
Unfam_MF;1637M-1661F;longdown_trill;88
Unfam_MF;1637M-1661F;trill;976
Unfam_MF;1637M-1661F;up;44
Unfam_MF;1643M-1684F;complex;619
Unfam_MF;1643M-1684F;Down;513
Unfam_MF;1643M-1684F;flat;745
Unfam_MF;1643M-1684F;longdown;57
Unfam_MF;1643M-1684F;longdown_trill;2
Unfam_MF;1643M-1684F;trill;51
Unfam_MF;1643M-1684F;up;286
Unfam_MF;1644M-1638F;complex;487
Unfam_MF;1644M-1638F;Down;541
Unfam_MF;1644M-1638F;flat;1325
Unfam_MF;1644M-1638F;longdown;46
Unfam_MF;1644M-1638F;longdown_trill;3
Unfam_MF;1644M-1638F;trill;86
Unfam_MF;1644M-1638F;up;73
Unfam_MF;1656M-1668F;complex;2
Unfam_MF;1656M-1668F;Down;0
Unfam_MF;1656M-1668F;flat;512
Unfam_MF;1656M-1668F;longdown;0
Unfam_MF;1656M-1668F;longdown_trill;0
Unfam_MF;1656M-1668F;trill;0
Unfam_MF;1656M-1668F;up;20
Unfam_MF;1685M-1638F;complex;345
Unfam_MF;1685M-1638F;Down;133
Unfam_MF;1685M-1638F;flat;1322
Unfam_MF;1685M-1638F;longdown;61
Unfam_MF;1685M-1638F;longdown_trill;22
Unfam_MF;1685M-1638F;trill;657
Unfam_MF;1685M-1638F;up;91
Unfam_FF;F11rouge-F19rouge;complex;8
Unfam_FF;F11rouge-F19rouge;Down;3
Unfam_FF;F11rouge-F19rouge;flat;314
Unfam_FF;F11rouge-F19rouge;longdown;0
Unfam_FF;F11rouge-F19rouge;longdown_trill;0
Unfam_FF;F11rouge-F19rouge;trill;0
Unfam_FF;F11rouge-F19rouge;up;2
Fam_FF;F12rouge-F13rouge;complex;166
Fam_FF;F12rouge-F13rouge;Down;29
Fam_FF;F12rouge-F13rouge;flat;1932
Fam_FF;F12rouge-F13rouge;longdown;1
Fam_FF;F12rouge-F13rouge;longdown_trill;0
Fam_FF;F12rouge-F13rouge;trill;0
Fam_FF;F12rouge-F13rouge;up;594
Unfam_FF;F14rouge-F2vert;complex;2
Unfam_FF;F14rouge-F2vert;Down;1
Unfam_FF;F14rouge-F2vert;flat;541
Unfam_FF;F14rouge-F2vert;longdown;0
Unfam_FF;F14rouge-F2vert;longdown_trill;0
Unfam_FF;F14rouge-F2vert;trill;0
Unfam_FF;F14rouge-F2vert;up;102
Unfam_FF;F15rouge-F1vert;complex;6
Unfam_FF;F15rouge-F1vert;Down;4
Unfam_FF;F15rouge-F1vert;flat;541
Unfam_FF;F15rouge-F1vert;longdown;1
Unfam_FF;F15rouge-F1vert;longdown_trill;0
Unfam_FF;F15rouge-F1vert;trill;0
Unfam_FF;F15rouge-F1vert;up;175
Unfam_FF;F17rouge-F3vert;complex;19
Unfam_FF;F17rouge-F3vert;Down;0
Unfam_FF;F17rouge-F3vert;flat;821
Unfam_FF;F17rouge-F3vert;longdown;0
Unfam_FF;F17rouge-F3vert;longdown_trill;0
Unfam_FF;F17rouge-F3vert;trill;0
Unfam_FF;F17rouge-F3vert;up;117
