label,x,y
flat,0.7965901,-0.01714511
flat,0.8925324,0.92713696
flat,1.3059809,3.3939266
flat,-0.62842983,2.4225657
flat,0.4625818,1.2886529
flat,-1.3534142,1.6308935
flat,0.2229604,7.11297
flat,-3.0850098,7.055641
flat,-0.47545934,3.6981199
flat,1.0554488,3.2290187
flat,0.90428996,4.810929
flat,0.80446696,2.2696774
flat,-1.4924917,9.730592
flat,-2.6385474,5.2637095
flat,-0.94757676,4.2802706
flat,-0.18195334,1.8368218
flat,-1.3277359,2.7773094
flat,-1.4619853,1.3663411
flat,-1.4421694,7.8290462
flat,-1.9051591,8.376454
flat,-2.8893988,4.9880867
flat,0.7533892,2.46116
flat,-0.0034974334,6.2971144
flat,-1.4760356,5.768803
flat,-1.8806481,1.9257351
flat,-1.7031391,7.7866144
flat,-0.5358553,5.7796016
flat,-3.3273413,5.010186
up,-0.008096856,6.388776
flat,-2.8148115,4.504481
flat,-2.468177,2.872799
flat,5.083039,-0.92198664
up,3.0873003,2.6085453
flat,-1.2837573,7.7869496
flat,0.16709603,1.6906056
flat,-1.4031171,7.4145613
flat,2.0062346,0.77708477
up,1.0007994,3.5770223
flat,0.053741314,6.470208
flat,-1.4250733,6.1340327
flat,-0.7244294,5.7353263
flat,0.9107187,5.8737173
flat,5.3187895,1.6948925
flat,-0.6744357,5.344249
flat,0.34649858,8.772436
flat,0.1414118,9.938646
flat,0.81933945,7.1489015
flat,-0.056882232,9.721705
flat,-1.4568758,9.922544
flat,-2.5999303,6.9650745
flat,3.449392,0.55630064
flat,-2.3064308,3.0636237
flat,-3.0436702,2.9658945
flat,-2.8724,3.6676562
flat,9.647391,1.0719346
flat,-0.4453497,2.174427
flat,-3.639494,6.1143813
flat,-3.057711,6.714945
flat,-2.511336,1.9236331
flat,-2.59086,8.920829
flat,-0.42419505,5.5413313
flat,-2.3384092,3.157537
flat,-1.5496287,7.6018043
flat,-0.96196395,4.216641
flat,-0.19753882,5.9749846
flat,-2.7111607,7.4630313
flat,5.9576607,-1.131557
flat,0.5090814,6.9667096
flat,0.17619585,8.63512
flat,-2.4494789,5.991958
flat,-1.4634681,9.860529
flat,2.3119373,3.228271
complex,1.7584159,8.166694
flat,2.1336496,-0.43501776
flat,-2.4825184,6.8003807
flat,-1.0353602,5.931542
flat,0.7953658,5.150921
flat,0.97418714,6.7746634
flat,0.5711293,8.495874
flat,-1.6261021,7.7383795
up,1.2360439,5.7746015
flat,-1.7279516,5.406899
flat,4.036433,2.7058046
flat,-0.45257476,0.7483722
flat,-0.15338711,8.106735
flat,-0.37042642,5.2793446
flat,-0.16580036,6.7604628
up,0.94499755,5.8310184
flat,1.8762536,7.8841357
flat,4.5709214,3.3566144
flat,-2.2502434,8.28841
flat,0.6745833,6.3362503
up,-0.57408416,2.4721613
flat,-1.0366455,2.212699
up,2.8141594,0.38866606
flat,3.0475824,3.1333313
flat,0.42063543,0.21026002
up,1.9174584,4.515637
up,1.4500895,3.2578065
flat,2.687887,4.9171762
flat,-0.456594,5.331446
flat,-0.18932709,1.9912102
flat,2.2707927,6.2204003
flat,1.1781051,1.9430948
flat,1.8306148,3.2350848
flat,1.6254998,4.043376
flat,2.977058,2.723816
up,2.6862268,2.6199896
flat,8.007074,-0.65053207
flat,0.5601543,8.091461
flat,0.036186766,6.472966
flat,3.8789454,0.023151433
up,1.7554437,4.233047
flat,2.0197284,4.81438
flat,5.9487305,-0.9521018
flat,0.97880954,5.2452345
flat,-0.45679492,3.5098608
flat,1.2273853,1.6470981
flat,1.0949074,5.135536
up,1.9249047,4.387557
flat,1.4054774,4.5927234
flat,4.7719946,-1.4083556
up,1.8034608,4.490722
up,1.6711485,6.4861856
up,2.3971117,0.8644513
up,2.0345693,4.5534525
up,1.3382427,4.9595833
up,0.89383066,5.267204
up,1.0775445,5.564943
flat,0.23803373,6.2680273
flat,1.483723,2.0426612
up,1.6308299,6.767215
up,3.1034412,2.9297688
flat,1.7065082,6.362525
flat,4.098664,0.34633496
up,3.7159128,5.3205733
flat,0.23523343,3.2632945
up,2.6034505,4.7690134
flat,0.93314934,4.6137147
up,1.9968603,0.68841827
up,2.7846186,5.097668
flat,1.337851,6.3637476
flat,4.7096453,1.2442777
up,2.8048117,-0.15299514
flat,4.5219893,0.29073924
up,4.11558,3.9183817
up,5.09486,2.2544544
flat,2.225176,-0.6542083
flat,2.8672192,4.659951
flat,1.0299692,4.150408
flat,4.901889,-0.65818894
flat,7.447218,0.39740124
flat,3.4219587,-0.5549341
up,-0.59591055,4.4052835
flat,6.3598747,1.2142152
up,3.2331007,3.8736
flat,0.35771847,7.2978454
flat,-1.3252165,6.2765155
up,1.7561622,3.8131986
flat,4.622474,0.88609564
up,4.995974,3.3595138
up,1.7897284,6.0588517
flat,4.655967,-1.3421066
flat,5.1678543,2.7618246
up,0.16788921,6.2885566
flat,3.1849356,3.0386481
flat,0.08408339,1.487845
