label,x,y
flat,12.918855,3.6413152
flat,10.723391,2.9415913
flat,13.701382,1.4374852
flat,10.389122,3.2737758
flat,11.3971195,2.8414373
flat,11.935539,3.0078537
flat,13.25302,3.0194645
flat,12.920254,3.8794508
flat,12.143228,1.9467224
flat,12.941527,3.3964496
flat,12.853454,1.9090337
flat,11.84028,2.2174637
flat,13.246556,2.0824833
flat,12.950011,2.982765
flat,12.546696,2.4357765
flat,13.099103,1.8673487
flat,13.285816,2.0474138
flat,12.831812,2.8878388
flat,13.159579,1.9620426
flat,12.506333,1.6852584
flat,12.227013,1.6898975
flat,12.870978,1.7625637
flat,11.715742,1.8805602
flat,11.627694,3.1731834
flat,11.977305,2.476307
flat,12.543586,1.693298
flat,13.043866,1.7382735
flat,12.550688,1.5699914
flat,12.308796,2.2590313
flat,12.073126,1.5693423
flat,11.391426,2.261597
flat,11.255131,2.4398198
complex,11.942161,1.6660528
flat,11.700288,2.0301862
flat,12.485643,1.6946533
flat,13.311072,2.241282
flat,11.761988,1.8077621
flat,11.77342,1.8087829
flat,11.9956,1.6220597
flat,11.715964,2.363534
flat,12.90391,3.2345324
flat,13.177343,2.1526642
flat,13.141632,2.038063
complex,12.287582,2.053417
flat,13.548411,2.0286987
flat,13.161732,2.118173
flat,12.803431,1.6393245
flat,12.634033,1.4972218
flat,12.266862,1.8722347
flat,12.565883,1.8478546
flat,10.657136,2.8525329
flat,11.941793,2.0539916
flat,11.793605,4.608646
flat,12.329418,1.706513
flat,11.660332,3.2215796
flat,12.279151,2.5343542
flat,11.642745,2.8404057
flat,11.196093,2.685742
flat,10.915054,3.234048
flat,9.271903,3.3889062
flat,11.463748,3.601219
flat,12.194187,3.7418363
flat,10.70832,4.243736
flat,12.664897,1.5050049
flat,12.365934,3.5526977
flat,11.786462,3.2621377
flat,13.213163,2.281996
flat,10.647074,7.9606614
flat,11.784354,1.8918233
flat,12.673425,2.7781115
flat,11.683319,3.4635878
flat,11.492439,3.375163
flat,10.664888,3.7268677
flat,12.799364,2.8793023
flat,13.62992,1.8609638
flat,13.659272,1.8079997
flat,13.272072,3.1402147
flat,11.010268,3.066328
flat,13.661033,1.5422491
flat,11.903266,3.419058
flat,10.34222,2.9858038
flat,10.838973,2.699168
flat,10.858306,3.0341344
flat,12.109028,1.4339359
flat,11.867932,1.5489984
flat,12.043702,3.5364277
