label,x,y
flat,7.7373056,0.10659171
flat,9.126466,1.9135957
up,6.344559,5.5150795
flat,5.9567065,2.9714768
flat,5.143858,3.3781672
up,5.6364985,4.0024743
flat,10.91454,3.6867743
flat,5.5756497,4.874385
flat,0.8972439,4.667712
flat,6.8668523,1.1120827
up,5.9742503,4.4490957
flat,7.683721,2.3208606
up,6.9272733,5.863965
flat,2.4547377,4.9353943
flat,4.991012,3.440531
flat,6.094166,5.618982
flat,5.9348903,4.172297
flat,5.49611,3.0046632
flat,5.851472,3.1234517
up,6.526038,4.250215
flat,5.1325054,6.745651
flat,9.24242,0.5943853
flat,12.99608,2.599017
flat,12.683034,2.2485914
flat,5.2050123,3.3074143
flat,13.888518,2.2908182
flat,8.077511,4.3858795
up,7.239024,6.282545
flat,8.208259,4.184749
up,6.1875944,5.3584466
flat,6.379821,3.7986977
flat,13.410766,2.6323388
flat,4.8872643,5.750237
flat,8.529164,5.633113
flat,12.4926815,1.2290938
flat,14.468245,2.676302
flat,3.4107537,4.0575294
flat,6.331764,1.9460896
flat,12.786165,3.6368177
up,6.3033295,6.7541823
flat,12.31911,1.2401099
up,5.387024,6.2682467
flat,13.218442,1.7911197
up,5.7426176,6.3412533
flat,11.917007,6.493217
flat,7.913909,0.10289839
up,5.8427906,5.600058
flat,14.28411,2.4040077
flat,7.7205706,5.656124
flat,4.8678207,3.4664967
flat,6.869453,5.9268064
flat,10.335258,1.8769609
flat,13.850419,1.9893935
flat,12.133103,1.1956818
flat,13.652299,3.523813
flat,14.053573,2.258146
flat,11.556006,0.83909696
flat,5.1110015,6.9385324
flat,5.2639837,1.3173951
flat,6.785398,3.7960942
up,7.7336664,7.3959117
flat,5.6863317,3.0994592
flat,3.3578932,4.776569
flat,5.602878,5.490782
flat,5.523949,5.2011986
flat,12.345149,1.3219502
flat,12.458235,1.3903402
flat,3.438024,6.225573
flat,10.82335,2.5715265
flat,13.874856,2.4344137
flat,4.9958844,6.1260514
up,6.160387,5.868329
up,4.3430686,7.3779035
flat,6.575447,4.208385
up,9.714435,6.575288
flat,5.550458,5.89424
flat,11.965512,1.061723
flat,12.879359,1.6214081
flat,13.209311,1.878524
flat,12.501583,1.3130047
flat,5.6626077,2.5635114
flat,6.517905,3.7912946
flat,4.249133,5.582584
flat,6.537686,9.204787
flat,10.339681,6.015367
flat,7.6387095,1.3127337
flat,12.0344715,3.5768752
flat,8.076436,3.5640774
flat,13.812574,2.887142
flat,7.2268662,3.3236275
flat,14.155314,2.404178
flat,5.188937,1.2384284
flat,12.81219,1.3785928
flat,14.129055,2.6796048
flat,11.850133,5.7669783
up,14.211816,3.393817
flat,12.615556,2.0732806
flat,12.096316,1.2607522
trill,8.825108,4.8774824
flat,12.383339,1.1095426
flat,8.019785,3.9303367
flat,10.644996,6.143726
flat,12.186634,1.1719831
flat,10.552964,4.5009327
flat,14.309438,2.3462565
flat,12.346091,1.2641637
flat,13.959402,2.0892289
flat,14.0788765,2.1847682
flat,11.652318,6.804163
flat,10.761432,3.0273268
flat,11.763848,6.5641046
flat,12.053804,1.1989465
flat,12.53291,1.1167694
flat,12.283694,1.1899465
flat,13.8673525,2.6569078
flat,13.713382,2.5782282
flat,11.4472065,1.921036
flat,11.893372,1.5053194
flat,14.034263,2.1714623
flat,13.009306,2.0273912
