label,x,y
flat,9.988121,5.5125976
flat,8.438772,3.4774308
flat,8.386638,3.2746797
flat,10.837001,4.73165
flat,9.51135,3.29212
flat,8.694363,2.0812323
flat,9.863021,3.839555
flat,9.366793,2.2461224
flat,9.674256,2.6415608
flat,8.327045,3.1216471
flat,10.803969,4.66286
flat,8.942872,2.192132
flat,8.769394,3.6891067
flat,7.991442,2.907376
flat,9.389559,2.3730047
flat,7.390466,2.5649238
flat,8.633859,2.669332
flat,10.367797,5.196545
flat,11.053586,5.457889
flat,8.264954,2.928203
flat,10.662078,5.855602
flat,8.808209,4.641151
flat,9.798894,6.753304
flat,8.542094,3.5374904
trill,7.5009303,2.9384923
flat,8.8715105,3.567366
flat,10.614965,3.589367
flat,8.547934,2.8118885
flat,8.525877,2.8051758
flat,9.893494,2.5808456
flat,8.799017,3.5309818
flat,8.189678,3.3054686
flat,7.4123106,2.4709527
flat,9.19518,2.1402683
flat,7.532246,2.1245518
flat,9.123977,2.3291273
flat,8.598533,3.3045423
flat,8.4733715,2.1631937
flat,8.536707,1.939246
flat,8.506261,3.7111015
flat,9.065699,3.361196
flat,8.207561,2.9823816
flat,7.821434,2.8403077
flat,9.230485,3.4179595
flat,7.9959006,3.0767171
flat,8.298697,1.8892465
flat,8.72312,2.2566442
flat,8.152608,2.7636747
flat,9.063769,3.4013689
flat,8.723577,1.9393629
flat,6.8694367,1.6018983
flat,9.339605,4.7494497
flat,10.775493,3.5864425
flat,7.0887423,1.6348231
flat,6.705171,2.1998663
flat,7.6844077,2.928411
flat,8.509923,1.9972925
flat,7.3198133,2.8171942
flat,7.9820595,2.76467
flat,7.3036804,2.4817398
flat,7.4359193,2.1676972
flat,10.066736,3.1291854
flat,9.486652,3.6499465
flat,9.386062,4.432072
flat,10.4806385,5.6860723
flat,10.391402,3.5851326
flat,7.301234,2.7226975
flat,7.958385,2.2293384
flat,8.3101845,1.5254433
flat,5.1158147,2.9149272
flat,8.548855,2.9047663
flat,6.2521114,1.3095504
flat,6.9438996,2.1975882
flat,7.515551,2.8080556
flat,8.626955,2.682095
flat,6.0894766,1.9542754
flat,6.3872128,1.7118276
flat,6.628752,1.4176594
flat,7.584686,1.3684007
flat,7.016947,1.7904978
flat,7.982796,1.5624306
flat,5.166296,1.5673667
flat,6.474281,1.7548217
flat,7.242163,2.6101084
flat,8.135326,3.1017568
flat,6.5570364,1.4373393
flat,6.935219,2.681163
flat,7.3581443,1.5636275
flat,7.9942336,1.5278323
flat,9.07368,2.9884946
flat,8.347339,2.8621657
flat,8.743122,1.6727797
flat,7.091981,2.592635
flat,7.36687,2.6041877
flat,6.2644596,2.5515888
flat,5.1735945,1.7538009
flat,6.1625896,2.6082838
flat,7.2560725,1.7442335
flat,5.6193304,2.1652446
flat,6.3145823,2.0210967
flat,6.2197943,2.7614152
flat,4.7213144,2.0332127
flat,4.402459,2.3719053
flat,5.4510174,3.093096
flat,8.023764,1.9780446
flat,7.139878,2.3427205
flat,8.6644945,4.2161827
flat,8.070673,1.5887598
flat,6.71369,1.3074231
flat,6.5875397,1.4627752
flat,6.1306853,1.2963924
flat,6.7919345,2.1413429
flat,7.0761795,2.179543
complex,5.1770525,1.2669761
flat,5.42544,1.5537361
flat,4.825484,2.3669505
flat,5.944585,1.3116734
flat,5.64794,1.367247
flat,4.494273,2.2259188
complex,4.720967,1.4483098
flat,4.5591497,2.0448868
flat,5.464385,2.0496664
flat,6.1238127,1.5521233
flat,6.146295,1.2618886
down,4.4717603,1.7393537
flat,4.673783,1.524829
flat,5.464908,3.3586907
flat,6.0936794,1.3705298
flat,4.2892427,2.3770633
flat,5.2126284,1.5590354
flat,5.1549225,1.3782223
flat,5.87983,1.3098693
flat,6.1872325,1.9711366
complex,4.8707676,1.3581289
down,4.5200424,1.7179432
flat,5.527373,1.3321981
flat,4.966073,1.922481
flat,5.228475,1.8847429
flat,4.2707295,2.6086261
flat,6.582794,1.8575612
flat,6.2009,1.6843036
flat,7.0914693,2.3483624
flat,6.5441146,1.5009083
flat,5.498262,2.4779482
flat,3.8404236,3.1049683
flat,5.215246,1.6371478
flat,5.9149103,1.4331993
flat,5.2290225,1.3188986
flat,3.9464643,2.9345763
flat,4.422994,2.3220615
flat,4.4549093,2.2391086
flat,6.6823707,1.3967478
flat,5.2040353,2.2477715
flat,5.3931375,2.4208775
flat,5.5311403,1.4776739
flat,4.8820066,1.5487561
flat,5.1889114,1.4510149
flat,4.953941,2.8653855
complex,4.6503243,1.561744
flat,5.0620933,1.5534354
complex,4.7873015,1.4671721
flat,5.60032,1.8746318
flat,5.3645315,2.2301347
down,4.791041,1.5059192
flat,5.5195227,1.4796993
flat,5.415474,1.2516168
flat,4.559098,1.8653821
up,6.617812,1.4350442
flat,5.3833427,2.1209836
complex,4.6864557,1.4294816
flat,4.45747,2.394893
flat,4.4607844,2.3816953
flat,4.8080564,1.8309727
flat,6.240763,2.7050643
flat,5.8804603,1.6629759
flat,6.4532514,2.4107137
flat,5.2143917,2.7871242
flat,4.9876604,1.517541
