label,x,y
flat,4.719996,2.599973
flat,-2.1309767,7.585747
up,-1.4284114,8.943973
flat,-4.72313,6.3832083
flat,-0.9308267,10.599888
flat,-3.3561828,7.3644395
flat,5.506947,0.70113176
up,3.2264457,6.8444743
flat,-2.2905514,9.444151
flat,-2.399898,7.3708563
flat,-4.3639903,5.096559
up,-3.3365035,6.498755
flat,-3.3306184,6.0993423
flat,-2.9650738,4.063531
flat,0.47195503,10.232433
flat,-2.485108,7.51184
flat,3.1034129,7.952536
flat,-3.890902,7.9978466
flat,-4.7413287,6.0221534
flat,-3.6532838,4.9747577
flat,-3.2003467,7.894155
flat,-2.7613196,9.256014
flat,-3.357588,8.7429
flat,-4.235363,7.0848227
flat,-2.594574,8.16045
flat,-3.2134511,4.3790374
flat,-3.6348464,7.959651
flat,-3.586855,7.6501374
flat,-3.5509567,7.921831
flat,-2.3439424,8.308791
flat,-4.6732883,6.559811
flat,-4.7346587,4.023923
flat,-0.8361123,9.455119
flat,-3.2748592,7.6415954
flat,-2.3504367,8.92123
flat,-4.280518,6.3571587
flat,-4.9854593,4.7963347
flat,-3.9932253,4.008616
flat,-2.7980483,6.1456933
flat,-3.873854,6.940267
flat,-3.124346,7.0106297
flat,-2.4892294,7.885158
flat,-4.064285,4.371304
flat,-3.098557,7.6227856
flat,-3.6543815,7.8115077
flat,-3.8216262,4.327873
flat,-4.9515452,2.7525544
flat,-3.826559,6.054192
flat,-2.9504354,6.2529874
flat,-2.1769757,9.210454
flat,-2.4773726,9.067999
flat,-3.9713695,7.291642
flat,-3.5557997,8.306898
flat,-2.801142,7.8214126
flat,-2.851384,8.201917
flat,-2.940115,8.755489
flat,-3.2965105,8.522979
flat,-2.6038396,8.257081
flat,-3.425971,8.40739
flat,-2.253362,9.331473
flat,-0.40502474,10.178306
flat,-2.9711552,7.0193458
flat,-3.115144,8.633832
flat,-3.0142083,4.2952313
up,-2.1001256,6.800002
flat,-2.306858,9.532472
flat,-4.936601,4.6133957
flat,-4.367998,6.3741384
up,-2.5011418,6.0647526
flat,-3.383834,5.770046
flat,-1.0297092,9.492324
flat,-3.1482522,9.145075
flat,0.37941548,11.13193
flat,-2.3459408,8.0363
flat,-3.4848309,6.3121114
flat,-3.0367718,8.546716
flat,-2.7228954,7.132503
flat,-3.4242523,8.702943
flat,-4.007443,6.971169
flat,-2.9070613,8.315079
flat,-3.5382922,8.708077
flat,-2.0792043,9.129031
flat,-2.209011,8.778246
flat,-2.0548615,9.763617
flat,-0.3917693,10.8339
flat,-2.802581,9.250118
flat,-3.039005,7.403602
flat,-2.641854,9.063679
flat,-2.2539325,7.814256
flat,-1.7123157,9.530416
flat,-4.081007,7.8949046
flat,-1.7293869,9.556541
flat,-3.4286642,7.8960915
flat,-0.91599977,10.4783945
flat,-3.8994896,8.334358
flat,-4.411813,6.0777607
flat,-0.8963346,9.742934
flat,0.12578759,9.56039
flat,-3.850101,6.6811743
flat,-1.7026944,9.869959
flat,-3.2460144,8.434844
flat,1.5385985,10.906135
flat,-4.1978445,6.165446
flat,-4.338677,6.734491
flat,-2.7850358,6.070355
flat,0.32865754,9.908702
flat,-3.0346656,7.6565375
flat,-3.8872616,0.22137022
flat,-5.037734,4.7020082
flat,-1.5119852,10.149347
flat,-3.8952668,6.2509484
flat,-4.987724,5.5242715
flat,-3.6901753,8.3139925
flat,-5.018179,2.0987477
flat,-3.080811,8.751047
flat,-0.20960426,10.939991
flat,-3.9497154,6.6934733
flat,4.529548,9.603544
flat,-0.17494869,11.0629
flat,-1.0870229,10.415321
flat,-1.766281,9.404734
flat,-3.8152828,8.283207
flat,-4.0668583,7.3711605
flat,-2.9303625,7.2937074
flat,-2.7526705,8.008772
flat,-1.8407836,9.861213
flat,-2.370446,9.076774
up,-1.7565554,8.537673
flat,4.8412194,2.2754927
flat,-2.6496382,8.78428
flat,-0.6354096,10.425222
flat,-1.4689423,10.066303
flat,-0.39493227,10.388639
flat,-0.18281628,10.893879
flat,4.7069845,2.6133268
flat,-1.5146831,10.28135
flat,-3.2577856,5.793808
flat,-1.3305327,-0.853979
flat,-0.99851906,-0.775207
up,-3.7966375,8.65256
flat,-4.21051,4.241378
flat,-3.5786204,1.6721745
flat,-4.0923686,4.0874567
flat,-0.2986038,-0.8769791
flat,-4.28385,4.4032283
flat,-3.5257523,5.2317986
flat,-0.37881917,11.035288
flat,-0.4758778,-0.75884527
flat,-4.8416944,4.237959
flat,-2.2666492,-0.6305452
flat,-4.3531375,3.1781867
flat,-3.54894,2.1551166
flat,-3.5923586,2.6313734
flat,-3.534749,-0.33352607
flat,-4.6473436,2.864372
flat,-3.7045054,1.1996063
flat,-4.907915,2.781292
flat,-0.31186977,-1.1890264
