label,x,y
flat,3.7530444,6.4807706
flat,2.6308713,4.665798
flat,2.664351,5.810357
flat,0.96662736,3.5358243
flat,0.5200675,3.5723534
flat,1.3826958,3.3500695
flat,3.6411822,4.8214245
flat,3.9200559,5.713379
flat,6.3690023,7.459873
flat,4.5360036,8.630542
flat,3.5370886,5.9341197
flat,6.6969066,8.341685
flat,8.21965,6.9439664
flat,5.878653,8.778901
flat,3.9078648,8.201786
flat,3.5403671,5.1963873
up,2.239937,4.8622265
flat,1.2537278,4.0347633
flat,2.9947872,6.5265074
flat,2.3323567,3.8122826
flat,0.96106654,3.436237
flat,3.037253,3.2682798
flat,3.97227,5.277196
flat,5.0922775,6.819898
flat,1.5016854,3.737323
flat,1.8664021,3.536961
flat,1.6153855,3.3976245
flat,1.0342239,3.595191
flat,1.3729678,4.145813
flat,1.2213308,3.7301247
flat,1.1083376,3.5303407
flat,0.38402966,3.6578672
flat,1.3915575,5.4048014
flat,1.9781431,5.778512
flat,1.4753386,4.1695557
flat,0.5465316,3.5043
flat,4.3877153,3.1850533
flat,2.5620835,4.0711894
flat,2.489366,4.1566286
flat,3.1128209,2.841655
flat,0.7527486,4.439929
flat,1.5389689,4.1210556
flat,0.57285243,3.8036766
flat,3.7241297,4.004871
flat,1.0461777,4.587207
flat,0.77404654,4.5310373
flat,1.3156711,3.8854434
flat,0.69624734,3.4970891
flat,0.95879734,3.542774
flat,1.504606,3.3574853
flat,3.7757092,4.5635214
flat,3.1471179,3.9898643
flat,1.2852936,3.3209105
flat,3.4090712,3.4191508
flat,4.0401297,5.084642
flat,2.7855089,2.9468338
flat,0.49530163,3.748564
flat,3.1851313,3.3226225
flat,3.0689652,8.5404415
flat,2.1096985,3.0987997
flat,1.1027491,3.7831652
flat,5.03271,7.7229805
flat,3.615144,4.9348254
flat,0.9870868,3.6154208
flat,0.6603925,4.1469846
flat,3.1018069,6.1523423
flat,2.557229,5.632324
flat,1.4535213,4.379616
flat,2.3904154,4.2227535
flat,0.7045449,4.577016
flat,2.3432262,8.320956
flat,1.3833361,3.7978497
flat,2.6437633,5.644707
flat,4.325917,7.266021
flat,2.6934092,3.9202938
flat,3.0104797,3.5218234
flat,1.0816531,3.5055344
flat,3.2009277,3.7712464
flat,2.8211405,3.9173791
flat,3.1527805,4.2857795
flat,5.509616,5.018023
flat,5.6693254,5.416033
flat,2.606207,3.455552
flat,4.0537224,6.666637
flat,3.8182106,3.9472947
flat,1.8525884,4.7947974
flat,4.312275,3.3119931
flat,3.8380961,3.4466226
flat,5.4166393,3.570712
flat,3.045894,6.6621246
flat,4.312024,6.4552116
flat,2.7859004,5.6850777
flat,4.6016517,9.872064
flat,3.537075,2.9238443
flat,3.767092,2.765567
flat,0.57070357,3.4328675
flat,4.269988,3.317055
flat,1.296389,3.514806
flat,3.7509882,4.564086
flat,4.6431093,5.5686483
flat,2.0744395,6.624395
flat,2.4646902,4.4419484
flat,4.9418173,4.1445
flat,2.2797213,4.86978
trill,1.973288,4.8427796
flat,1.893151,4.9726815
trill,1.9124395,4.913598
flat,-0.14449312,5.408687
flat,1.2859308,3.436298
flat,0.6623529,6.6330233
flat,0.43201232,5.030058
flat,0.27460033,5.0751305
flat,0.012469551,6.379342
flat,0.18155803,6.388096
flat,1.5461067,7.4557467
flat,0.06751115,6.123946
flat,1.839735,7.3545074
flat,2.4747505,6.0609484
flat,2.254602,8.20285
flat,1.5707879,6.400396
flat,-0.29360154,6.504314
flat,0.17834052,6.744081
flat,0.92807907,3.5711303
flat,0.20009965,6.788337
flat,1.6426591,7.8678555
flat,1.2415538,5.1512074
flat,-0.338262,5.9987884
flat,-0.35954154,6.4812117
flat,1.571024,7.490606
flat,-0.22010738,5.2769794
flat,-0.21554261,5.905989
flat,0.36957377,6.5667486
flat,2.4277925,7.6254697
flat,0.79698604,5.435081
flat,0.8783148,5.962865
flat,0.9096224,5.7015915
flat,-0.29786372,5.2413826
flat,0.53044915,3.89375
flat,-0.38689476,5.94083
flat,4.577056,6.006211
flat,2.1296604,3.9770772
flat,0.47562128,6.315393
flat,0.5650096,4.316757
flat,-0.42746162,6.0376334
flat,-0.42970854,5.902346
flat,2.5834868,7.5438385
flat,3.266071,9.397944
flat,0.66580606,6.364063
flat,0.13397105,6.427049
flat,-0.18484421,5.7192554
flat,1.6961927,7.309037
flat,-0.29695785,5.36589
flat,-0.20452741,5.1207237
flat,0.055101797,4.926964
flat,1.2166327,7.433369
flat,-0.18944797,5.1232543
flat,0.37925336,5.0975966
flat,-0.3851051,6.1854553
flat,1.8072445,7.1281986
flat,-0.14648315,6.626802
flat,-0.03604176,6.825322
flat,-0.4344768,5.8565364
flat,0.47075367,7.0477467
flat,-0.33601183,5.3461146
flat,1.4967378,5.006456
flat,0.426336,3.9952092
flat,-0.43261036,6.3705254
flat,-0.105685726,6.3266473
flat,0.019675227,6.650614
flat,0.09643624,6.3567634
flat,-0.008704403,6.7225966
flat,-0.30085465,5.2569275
flat,0.5712364,3.9312718
flat,-0.26308197,6.699222
flat,-0.15365672,6.6942596
flat,3.5976734,6.2659674
flat,0.43260407,3.6945946
flat,-0.19047655,6.107185
flat,-0.36310092,5.3032417
flat,-0.4249902,6.067362
flat,-0.44592005,6.4056997
flat,0.16794334,6.962172
flat,-0.33624583,5.2384434
flat,-0.3231042,5.2037644
flat,0.44404513,6.706084
flat,0.03147506,5.6057496
flat,-0.3479074,5.530036
flat,0.83989435,5.569159
flat,1.6092018,6.6451497
